Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,265.0,31104.01,0.0,183.41,0.0,-8.35,-18.89,139.01
2000-01-02,257.0,31109.09,0.0,189.38,0.0,-1.34,-12.53,230.34
2000-01-03,250.0,31199.31,6.04,157.23,0.0,6.07,-7.83,337.69
2000-01-04,285.0,31332.34,11.5,158.76,0.0,8.24,-5.65,405.52
2000-01-05,360.0,31448.96,11.59,148.52,0.0,3.81,-7.94,335.83
2000-01-06,390.0,31449.61,0.0,176.98,0.0,-7.04,-16.43,172.11
2000-01-07,360.0,31449.61,0.0,190.72,0.0,-4.74,-15.16,187.12
2000-01-08,314.0,31544.91,2.36,134.89,0.0,-1.2,-8.7,316.33
2000-01-09,294.0,31744.75,0.0,161.6,0.0,-4.12,-12.26,242.56
2000-01-10,288.0,31795.19,0.0,178.96,0.0,1.88,-7.61,350.24
2000-01-11,325.0,31795.19,17.38,138.92,0.0,2.37,-7.26,358.73
2000-01-12,380.0,31828.31,0.03,200.88,0.0,6.01,-4.88,429.19
2000-01-13,310.0,32090.35,0.0,211.23,0.0,-3.19,-14.39,204.15
2000-01-14,270.0,32140.81,0.0,221.63,0.0,-10.86,-22.73,99.94
2000-01-15,245.0,32140.81,0.0,161.08,0.0,-17.54,-24.92,85.12
2000-01-16,220.0,32298.24,5.77,160.92,0.0,-13.99,-24.7,87.24
2000-01-17,205.0,32486.39,9.24,192.17,0.0,-6.66,-21.72,110.25
2000-01-18,193.0,32486.39,0.0,176.77,0.0,-16.38,-24.31,89.86
2000-01-19,182.0,32643.84,0.0,257.79,0.0,-13.77,-27.78,65.06
2000-01-20,178.0,32832.0,0.0,287.48,0.0,-9.04,-28.53,61.24
2000-01-21,171.0,32832.0,1.38,275.15,0.0,-9.7,-27.32,69.18
2000-01-22,165.0,32989.45,1.0,229.18,0.0,-12.47,-23.31,97.48
2000-01-23,161.0,33177.61,0.0,163.49,0.0,-19.38,-26.12,73.69
2000-01-24,159.0,33177.61,0.0,277.85,0.0,-10.06,-24.78,81.08
2000-01-25,157.0,33472.77,0.0,270.43,0.0,-3.19,-16.87,165.56
2000-01-26,153.0,33523.23,17.55,183.6,0.0,-4.77,-15.77,181.02
2000-01-27,162.0,33556.32,0.0,261.65,0.0,-3.93,-16.09,176.91
2000-01-28,170.0,33868.81,0.0,209.57,0.0,-12.31,-20.76,117.11
2000-01-29,153.0,33868.81,0.0,176.22,0.0,-15.04,-21.79,111.63
2000-01-30,148.0,34163.93,0.0,269.93,0.0,-5.27,-17.91,160.0
2000-01-31,141.0,34214.4,4.54,238.3,0.0,3.22,-14.77,200.0
