model,NSE,RMSE,MAE,R2,KGE
Persistence,-0.099,824.7891,391.2764,-0.099,0.4438
ANN_Direct,0.6885,438.3635,192.2439,0.6885,0.6969
ANN_MultiOutput,0.7374,403.9462,178.0607,0.7374,0.6888
RF_Direct,0.5402,535.8189,228.3041,0.5402,0.5612
RF_MultiOutput,0.5386,538.051,227.9867,0.5386,0.5726
LSTM_Direct,0.641,474.3599,194.8314,0.641,0.7621
LSTM_MultiOutput,0.627,483.4479,203.0274,0.627,0.7294
Avg_Direct,0.7168,421.4265,168.9507,0.7168,0.6671
Avg_MultiOutput,0.6854,443.2301,183.8182,0.6854,0.6745
Stack_Direct,0.7164,421.0373,169.0884,0.7164,0.6368
Stack_MultiOutput,0.6134,490.461,203.7319,0.6134,0.5957
